"Country or Area Code","Country or Area","Year(s)","Variant","Value"
"4","Afghanistan","2020","Medium","38928.346"
"903","Africa","2020","Medium","1340598.147"
"8","Albania","2020","Medium","2877.797"
"12","Algeria","2020","Medium","43851.044"
"16","American Samoa","2020","Medium","55.191"
"20","Andorra","2020","Medium","77.265"
"24","Angola","2020","Medium","32866.272"
"660","Anguilla","2020","Medium","15.003"
"28","Antigua and Barbuda","2020","Medium","97.929"
"32","Argentina","2020","Medium","45195.774"
"51","Armenia","2020","Medium","2963.243"
"533","Aruba","2020","Medium","106.766"
"935","Asia","2020","Medium","4641054.775"
"36","Australia","2020","Medium","25499.884"
"927","Australia/New Zealand","2020","Medium","30322.117"
"40","Austria","2020","Medium","9006.398"
"31","Azerbaijan","2020","Medium","10139.177"
"44","Bahamas","2020","Medium","393.244"
"48","Bahrain","2020","Medium","1701.575"
"50","Bangladesh","2020","Medium","164689.383"
"52","Barbados","2020","Medium","287.375"
"112","Belarus","2020","Medium","9449.323"
"56","Belgium","2020","Medium","11589.623"
"84","Belize","2020","Medium","397.628"
"204","Benin","2020","Medium","12123.2"
"60","Bermuda","2020","Medium","62.278"
"64","Bhutan","2020","Medium","771.608"
"68","Bolivia (Plurinational State of)","2020","Medium","11673.021"
"535","Bonaire, Sint Eustatius and Saba","2020","Medium","26.223"
"70","Bosnia and Herzegovina","2020","Medium","3280.819"
"72","Botswana","2020","Medium","2351.627"
"76","Brazil","2020","Medium","212559.417"
"92","British Virgin Islands","2020","Medium","30.231"
"96","Brunei Darussalam","2020","Medium","437.479"
"100","Bulgaria","2020","Medium","6948.445"
"854","Burkina Faso","2020","Medium","20903.273"
"108","Burundi","2020","Medium","11890.784"
"132","Cabo Verde","2020","Medium","555.987"
"116","Cambodia","2020","Medium","16718.965"
"120","Cameroon","2020","Medium","26545.863"
"124","Canada","2020","Medium","37742.154"
"915","Caribbean","2020","Medium","43532.365"
"136","Cayman Islands","2020","Medium","65.722"
